category,feed_tag,is_watch,link,published_iso,score,source,summary,title,uid,watch_hits
preprints,arxiv-qbio,False,https://arxiv.org/abs/2503.18855,2026-03-18T04:00:00Z,1.4,q-bio updates on arXiv.org,"arXiv:2503.18855v3 Announce Type: replace Abstract: The topological and geometrical features at the boundary zone of planar polygonal networks remain poorly understood. Based on observations and mathematical proofs, we propose that marginal cells in the thalli of Pyropia haitanensis, a two-dimensional (2D) biological polygonal network, have an average edge number of approximately five. We demonstrate that this number is maintained by specific division patterns. Furthermore, we observe that both marginal cells and inner cells follow the trends predicted by the Lewis law and Aboav-Weaire law, but each cell type requires its own set of correlation parameters to more accurately describe its topological and geometrical features. The boundary effects are also evident in the differences between marginal cells and inner cells in terms of the distributions of interior angles and edge lengths. Similar to inner cells, cell division tends to occur in marginal cells with large sizes and transects a pair of unconnected edges. In particular, this study finds that the division of marginal cells preferentially transects the marginal edge. These specific topological and geometrical features of margi",Boundary effects in biological planar networks: pentagonsdominate Pyropia marginal cells,oai:arXiv.org:2503.18855v3,[]
journal,nature-biotech,False,https://www.nature.com/articles/s41587-026-03055-x,2026-03-18T00:00:00Z,0.19999999999999996,Nature Biotechnology,"Nature Biotechnology, Published online: 18 March 2026; doi:10.1038/s41587-026-03055-x An engineered Escherichia coli Nissle 1917 strain carrying a synthetic arginine–nitric oxide (NO) circuit enables sustained intratumoral NO production that promotes vascular normalization and immune reprogramming. This reshaped tumor microenvironment synergizes with blockade of the immune checkpoint PD-L1 to reinvigorate CD8+ T cells and drive durable tumor regression in mouse models.",An engineered E. coli strain sustains intratumoral nitric oxide production to boost effectiveness of tumor immunotherapy,https://www.nature.com/articles/s41587-026-03055-x,[]
journal,nature-biotech,False,https://www.nature.com/articles/s41587-026-03054-y,2026-03-18T00:00:00Z,0.19999999999999996,Nature Biotechnology,"Nature Biotechnology, Published online: 18 March 2026; doi:10.1038/s41587-026-03054-y Solid tumors are sensitized to anti‑PD‑L1 immunotherapy by engineered E. coli to produce nitric oxide.",Sustained nitric oxide production by engineered E. coli remodels the tumor microenvironment and potentiates immunotherapy,https://www.nature.com/articles/s41587-026-03054-y,[]
journal,nature-biotech,False,https://www.nature.com/articles/s41587-026-03061-z,2026-03-18T00:00:00Z,0.19999999999999996,Nature Biotechnology,"Nature Biotechnology, Published online: 18 March 2026; doi:10.1038/s41587-026-03061-z Peptides are sequenced by converting each amino acid into amplifiable DNA barcodes.",Single-molecule peptide sequencing through reverse translation of peptides into DNA,https://www.nature.com/articles/s41587-026-03061-z,[]
journal,nature-biotech,False,https://www.nature.com/articles/s41587-026-03045-z,2026-03-18T00:00:00Z,0.19999999999999996,Nature Biotechnology,"Nature Biotechnology, Published online: 18 March 2026; doi:10.1038/s41587-026-03045-z Base editor precision is increased by reverting established mutations.","Precise, minimally evolved adenine base editors generated through mutation reversion analysis",https://www.nature.com/articles/s41587-026-03045-z,[]
journal,nature-biotech,False,https://www.nature.com/articles/s41587-026-03062-y,2026-03-17T00:00:00Z,0.19999999999999996,Nature Biotechnology,"Nature Biotechnology, Published online: 17 March 2026; doi:10.1038/s41587-026-03062-y Balenciaga debuts eight-legged yarns",Balenciaga debuts eight-legged yarns,https://www.nature.com/articles/s41587-026-03062-y,[]
journal,nature-biotech,False,https://www.nature.com/articles/s41587-026-03067-7,2026-03-17T00:00:00Z,0.19999999999999996,Nature Biotechnology,"Nature Biotechnology, Published online: 17 March 2026; doi:10.1038/s41587-026-03067-7 FDA backpedals to review Moderna mRNA flu vaccine",FDA backpedals to review Moderna mRNA flu vaccine,https://www.nature.com/articles/s41587-026-03067-7,[]
journal,nature-biotech,False,https://www.nature.com/articles/s41587-026-03072-w,2026-03-17T00:00:00Z,0.19999999999999996,Nature Biotechnology,"Nature Biotechnology, Published online: 17 March 2026; doi:10.1038/s41587-026-03072-w Broadly protective mucosal vaccine harnesses integrated immunity",Broadly protective mucosal vaccine harnesses integrated immunity,https://www.nature.com/articles/s41587-026-03072-w,[]
journal,nature-biotech,False,https://www.nature.com/articles/s41587-026-03065-9,2026-03-17T00:00:00Z,0.19999999999999996,Nature Biotechnology,"Nature Biotechnology, Published online: 17 March 2026; doi:10.1038/s41587-026-03065-9 New rules spur cell and gene therapy trials in China",New rules spur cell and gene therapy trials in China,https://www.nature.com/articles/s41587-026-03065-9,[]
preprints,arxiv-qbio,False,https://arxiv.org/abs/2603.15702,2026-03-18T04:00:00Z,-0.6,q-bio updates on arXiv.org,"arXiv:2603.15702v1 Announce Type: new Abstract: QuPath is open-source software for bioimage analysis. As a desktop application that is flexible and easy to install, QuPath is used by labs worldwide to visualise and analyse large and complex images. However, relying only on images stored only on a local file system limits QuPath's use for larger studies. This paper describes a new extension that enables QuPath to access pixels and metadata from an OMERO server. This enhances the software by allowing it to work efficiently with images stored remotely, while also serving as a template for developers who want to connect QuPath to other image management systems.",Whole slide and microscopy image analysis with QuPath and OMERO,oai:arXiv.org:2603.15702v1,[]
